year,Taxed Emissions,Normal Emissions
2024,4.46,5.12
2025,4.31,5.05
2026,4.22,5.04
2027,4.12,5.01
2028,4.04,4.99
2029,3.95,4.98
2030,3.88,4.96
2031,3.8,4.94
2032,3.74,4.93
2033,3.67,4.92
2034,3.61,4.9
2035,3.55,4.88
2036,3.48,4.86
2037,3.42,4.85
2038,3.37,4.84
2039,3.32,4.83
2040,3.246911765,4.812617647
2041,3.173823529,4.795235294
2042,3.100735294,4.777852941
2043,3.027647059,4.760470588
2044,2.954558824,4.743088235
2045,2.881470588,4.725705882
2046,2.808382353,4.708323529
2047,2.735294118,4.690941176
2048,2.662205882,4.673558824
2049,2.589117647,4.656176471
2050,2.516029412,4.638794118
2051,2.442941176,4.621411765
2052,2.369852941,4.604029412
2053,2.296764706,4.586647059
2054,2.223676471,4.569264706